#cnum	V	H	C	MunH	MunV	L*	a*	b*
289	D	23	6	7.50BG	7	71.60	-27.52	-7.11
186	D	24	6	10.00BG	7	71.60	-25.13	-11.03
49	D	25	6	2.50B	7	71.60	-22.32	-14.67
200	D	26	6	5.00B	7	71.60	-18.37	-18.07
104	D	27	6	7.50B	7	71.60	-14.22	-19.90
138	D	28	8	10.00B	7	71.60	-12.05	-29.46
322	D	29	8	2.50PB	7	71.60	-5.09	-30.75
254	D	30	8	5.00PB	7	71.60	.85	-31.32
102	D	31	6	7.50PB	7	71.60	6.06	-22.71
213	D	32	6	10.00PB	7	71.60	10.25	-21.60
167	D	33	6	2.50P	7	71.60	13.67	-19.66
99	D	34	6	5.00P	7	71.60	16.13	-17.52
152	D	35	8	7.50P	7	71.60	26.62	-18.32
215	D	36	8	10.00P	7	71.60	29.26	-13.95
86	D	37	10	2.50RP	7	71.60	38.97	-10.98
118	D	38	10	5.00RP	7	71.60	40.04	-2.70
239	D	39	8	7.50RP	7	71.60	32.47	2.76
126	D	40	8	10.00RP	7	71.60	32.41	7.97
263	E	0	0	10.00RP	6	61.70	-.04	.04
256	E	1	12	2.50R	6	61.70	49.42	18.23
176	E	2	12	5.00R	6	61.70	48.53	25.92
17	E	3	12	7.50R	6	61.70	46.38	35.47
121	E	4	14	10.00R	6	61.70	49.15	56.82
125	E	5	16	2.50YR	6	61.70	44.69	79.79
261	E	6	12	5.00YR	6	61.70	29.38	64.40
270	E	7	12	7.50YR	6	61.70	22.09	71.31
48	E	8	12	10.00YR	6	61.70	14.45	76.93
181	E	9	10	2.50Y	6	61.70	5.87	68.59
42	E	10	10	5.00Y	6	61.70	-1.40	71.61
275	E	11	10	7.50Y	6	61.70	-7.92	73.21
218	E	12	10	10.00Y	6	61.70	-14.02	73.17
236	E	13	10	2.50GY	6	61.70	-21.81	70.54
81	E	14	10	5.00GY	6	61.70	-30.13	65.11
7	E	15	12	7.50GY	6	61.70	-46.97	64.65
282	E	16	12	10.00GY	6	61.70	-55.94	49.19
45	E	17	10	2.50G	6	61.70	-51.58	26.30
180	E	18	10	5.00G	6	61.70	-52.22	16.26
310	E	19	10	7.50G	6	61.70	-52.09	10.63
119	E	20	10	10.00G	6	61.70	-51.88	5.51
147	E	21	8	2.50BG	6	61.70	-41.11	.19
246	E	22	8	5.00BG	6	61.70	-39.17	-5.88
136	E	23	8	7.50BG	6	61.70	-36.77	-10.90
55	E	24	8	10.00BG	6	61.70	-33.16	-16.42
40	E	25	8	2.50B	6	61.70	-29.22	-21.27
211	E	26	8	5.00B	6	61.70	-22.98	-25.73
19	E	27	8	7.50B	6	61.70	-16.81	-28.31
153	E	28	10	10.00B	6	61.70	-13.07	-37.55
1	E	29	10	2.50PB	6	61.70	-4.52	-39.18
37	E	30	10	5.00PB	6	61.70	2.64	-39.49
233	E	31	8	7.50PB	6	61.70	9.58	-30.64
62	E	32	8	10.00PB	6	61.70	15.28	-29.05
308	E	33	8	2.50P	6	61.70	20.07	-26.92
197	E	34	8	5.00P	6	61.70	23.29	-23.79
273	E	35	10	7.50P	6	61.70	34.47	-24.03
32	E	36	10	10.00P	6	61.70	37.10	-18.34
68	E	37	10	2.50RP	6	61.70	38.67	-11.63
28	E	38	10	5.00RP	6	61.70	40.07	-3.44
21	E	39	12	7.50RP	6	61.70	49.38	2.78
173	E	40	12	10.00RP	6	61.70	49.67	10.71
46	F	0	0	10.00RP	5	51.57	-.03	.04
321	F	1	14	2.50R	5	51.57	59.36	19.67
298	F	2	14	5.00R	5	51.57	58.01	30.52
288	F	3	14	7.50R	5	51.57	55.76	42.05
3	F	4	16	10.00R	5	51.57	55.20	68.32
76	F	5	14	2.50YR	5	51.57	40.53	69.04
30	F	6	12	5.00YR	5	51.57	29.45	64.44
185	F	7	10	7.50YR	5	51.57	19.79	58.75
208	F	8	10	10.00YR	5	51.57	13.12	63.99
287	F	9	8	2.50Y	5	51.57	5.33	54.90
58	F	10	8	5.00Y	5	51.57	-.48	57.27
225	F	11	8	7.50Y	5	51.57	-6.40	58.71
320	F	12	8	10.00Y	5	51.57	-11.71	58.46
304	F	13	8	2.50GY	5	51.57	-18.37	55.88
280	F	14	8	5.00GY	5	51.57	-25.02	50.55
195	F	15	10	7.50GY	5	51.57	-40.14	52.84
20	F	16	12	10.00GY	5	51.57	-56.86	49.22
202	F	17	12	2.50G	5	51.57	-63.28	28.95
85	F	18	10	5.00G	5	51.57	-52.87	15.46
299	F	19	10	7.50G	5	51.57	-52.69	9.70
223	F	20	10	10.00G	5	51.57	-51.99	4.46
301	F	21	10	2.50BG	5	51.57	-51.20	-1.36
316	F	22	8	5.00BG	5	51.57	-38.59	-7.00
238	F	23	8	7.50BG	5	51.57	-36.19	-11.99
77	F	24	8	10.00BG	5	51.57	-32.36	-17.71
307	F	25	8	2.50B	5	51.57	-27.95	-22.24
188	F	26	8	5.00B	5	51.57	-21.72	-26.63
169	F	27	8	7.50B	5	51.57	-15.72	-29.08
34	F	28	10	10.00B	5	51.57	-11.88	-38.56
164	F	29	12	2.50PB	5	51.57	-3.41	-48.08
291	F	30	12	5.00PB	5	51.57	5.02	-48.35
220	F	31	10	7.50PB	5	51.57	14.19	-39.14
247	F	32	10	10.00PB	5	51.57	22.05	-37.02
192	F	33	10	2.50P	5	51.57	27.40	-33.72
23	F	34	10	5.00P	5	51.57	31.24	-29.94
231	F	35	10	7.50P	5	51.57	35.21	-24.66
269	F	36	12	10.00P	5	51.57	46.17	-23.40
203	F	37	12	2.50RP	5	51.57	48.98	-15.95
207	F	38	12	5.00RP	5	51.57	51.20	-5.84
65	F	39	14	7.50RP	5	51.57	59.69	1.53
112	F	40	14	10.00RP	5	51.57	59.79	10.72
154	G	0	0	10.00RP	4	41.22	-.03	.03
98	G	1	14	2.50R	4	41.22	61.40	17.92
148	G	2	14	5.00R	4	41.22	59.50	30.17
245	G	3	14	7.50R	4	41.22	56.60	40.99
132	G	4	14	10.00R	4	41.22	51.06	58.81
266	G	5	10	2.50YR	4	41.22	32.37	46.62
9	G	6	8	5.00YR	4	41.22	22.15	41.13
329	G	7	8	7.50YR	4	41.22	17.04	45.95
295	G	8	6	10.00YR	4	41.22	9.31	37.80
183	G	9	6	2.50Y	4	41.22	4.42	40.43
232	G	10	6	5.00Y	4	41.22	-.21	42.37
103	G	11	6	7.50Y	4	41.22	-4.87	43.26
69	G	12	6	10.00Y	4	41.22	-9.31	43.05
165	G	13	6	2.50GY	4	41.22	-14.57	40.52
171	G	14	6	5.00GY	4	41.22	-19.48	36.56
54	G	15	8	7.50GY	4	41.22	-33.18	41.15
39	G	16	8	10.00GY	4	41.22	-38.39	31.53
122	G	17	10	2.50G	4	41.22	-53.57	23.28
234	G	18	10	5.00G	4	41.22	-54.08	14.27
72	G	19	10	7.50G	4	41.22	-53.43	8.61
156	G	20	10	10.00G	4	41.22	-52.68	3.36
281	G	21	8	2.50BG	4	41.22	-41.21	-2.07
191	G	22	8	5.00BG	4	41.22	-39.09	-8.33
163	G	23	8	7.50BG	4	41.22	-36.33	-13.61
25	G	24	6	10.00BG	4	41.22	-24.01	-14.24
123	G	25	6	2.50B	4	41.22	-20.46	-17.64
93	G	26	8	5.00B	4	41.22	-21.08	-28.21
311	G	27	8	7.50B	4	41.22	-14.67	-30.69
80	G	28	10	10.00B	4	41.22	-10.54	-39.65
64	G	29	10	2.50PB	4	41.22	-2.09	-40.81
235	G	30	12	5.00PB	4	41.22	7.17	-48.94
109	G	31	12	7.50PB	4	41.22	20.81	-48.05
205	G	32	10	10.00PB	4	41.22	24.29	-38.02
222	G	33	10	2.50P	4	41.22	29.49	-34.06
184	G	34	10	5.00P	4	41.22	33.08	-30.50
105	G	35	10	7.50P	4	41.22	36.48	-25.75
88	G	36	12	10.00P	4	41.22	46.93	-24.70
135	G	37	12	2.50RP	4	41.22	49.84	-17.34
276	G	38	12	5.00RP	4	41.22	51.84	-8.08
38	G	39	12	7.50RP	4	41.22	52.58	-.05
162	G	40	14	10.00RP	4	41.22	61.57	8.63
79	H	0	0	10.00RP	3	30.77	-.02	.03
115	H	1	10	2.50R	3	30.77	47.34	12.58
61	H	2	10	5.00R	3	30.77	46.08	20.60
41	H	3	12	7.50R	3	30.77	52.68	34.06
259	H	4	10	10.00R	3	30.77	40.89	36.03
240	H	5	8	2.50YR	3	30.77	28.16	36.05
283	H	6	6	5.00YR	3	30.77	18.18	30.27
157	H	7	6	7.50YR	3	30.77	13.89	33.80
51	H	8	6	10.00YR	3	30.77	9.51	37.16
155	H	9	4	2.50Y	3	30.77	3.10	25.71
24	H	10	4	5.00Y	3	30.77	-.15	26.58
309	H	11	4	7.50Y	3	30.77	-3.32	26.87
130	H	12	4	10.00Y	3	30.77	-6.44	26.57
216	H	13	4	2.50GY	3	30.77	-10.05	24.97
111	H	14	4	5.00GY	3	30.77	-13.04	21.97
137	H	15	6	7.50GY	3	30.77	-23.96	27.29
328	H	16	6	10.00GY	3	30.77	-27.26	20.69
265	H	17	8	2.50G	3	30.77	-39.23	16.60
133	H	18	8	5.00G	3	30.77	-39.62	10.61
168	H	19	10	7.50G	3	30.77	-49.93	6.94
323	H	20	8	10.00G	3	30.77	-39.18	2.14
249	H	21	6	2.50BG	3	30.77	-29.07	-1.92
209	H	22	6	5.00BG	3	30.77	-27.32	-6.72
114	H	23	6	7.50BG	3	30.77	-25.67	-10.89
57	H	24	6	10.00BG	3	30.77	-22.84	-15.29
226	H	25	6	2.50B	3	30.77	-19.73	-18.89
277	H	26	6	5.00B	3	30.77	-15.41	-22.00
257	H	27	6	7.50B	3	30.77	-10.88	-24.20
140	H	28	8	10.00B	3	30.77	-7.86	-33.80
178	H	29	10	2.50PB	3	30.77	.29	-43.03
26	H	30	10	5.00PB	3	30.77	7.86	-43.39
279	H	31	12	7.50PB	3	30.77	25.75	-49.63
97	H	32	10	10.00PB	3	30.77	28.36	-39.75
296	H	33	10	2.50P	3	30.77	33.51	-35.69
73	H	34	10	5.00P	3	30.77	36.90	-32.14
131	H	35	10	7.50P	3	30.77	39.78	-27.99
325	H	36	10	10.00P	3	30.77	42.44	-23.60
317	H	37	10	2.50RP	3	30.77	44.87	-16.65
101	H	38	10	5.00RP	3	30.77	46.25	-9.51
53	H	39	10	7.50RP	3	30.77	46.93	-2.51
8	H	40	10	10.00RP	3	30.77	47.63	5.24
312	I	0	0	10.00RP	2	20.54	-.02	.02
71	I	1	8	2.50R	2	20.54	36.82	3.13
194	I	2	8	5.00R	2	20.54	36.64	9.24
179	I	3	8	7.50R	2	20.54	35.15	15.44
210	I	4	6	10.00R	2	20.54	25.15	16.60
134	I	5	4	2.50YR	2	20.54	15.99	14.49
117	I	6	4	5.00YR	2	20.54	13.28	18.21
204	I	7	4	7.50YR	2	20.54	10.16	21.44
94	I	8	2	10.00YR	2	20.54	3.62	11.09
255	I	9	2	2.50Y	2	20.54	1.58	11.89
113	I	10	2	5.00Y	2	20.54	-.11	12.03
18	I	11	2	7.50Y	2	20.54	-1.74	11.57
198	I	12	2	10.00Y	2	20.54	-3.09	10.75
87	I	13	2	2.50GY	2	20.54	-4.47	9.36
227	I	14	2	5.00GY	2	20.54	-5.36	7.98
248	I	15	4	7.50GY	2	20.54	-14.85	15.25
75	I	16	4	10.00GY	2	20.54	-16.46	11.28
47	I	17	4	2.50G	2	20.54	-17.35	7.46
13	I	18	6	5.00G	2	20.54	-27.79	7.33
271	I	19	6	7.50G	2	20.54	-27.43	4.26
36	I	20	6	10.00G	2	20.54	-26.87	1.22
127	I	21	4	2.50BG	2	20.54	-17.18	-1.47
11	I	22	4	5.00BG	2	20.54	-16.13	-4.67
90	I	23	4	7.50BG	2	20.54	-15.07	-7.11
170	I	24	4	10.00BG	2	20.54	-13.39	-9.92
60	I	25	4	2.50B	2	20.54	-11.72	-12.03
14	I	26	4	5.00B	2	20.54	-9.52	-13.99
166	I	27	6	7.50B	2	20.54	-9.22	-24.04
228	I	28	6	10.00B	2	20.54	-5.25	-25.49
43	I	29	6	2.50PB	2	20.54	.11	-26.61
10	I	30	8	5.00PB	2	20.54	7.63	-35.92
313	I	31	10	7.50PB	2	20.54	23.81	-41.87
144	I	32	8	10.00PB	2	20.54	23.12	-31.33
250	I	33	8	2.50P	2	20.54	26.82	-27.84
150	I	34	8	5.00P	2	20.54	29.26	-25.01
50	I	35	6	7.50P	2	20.54	22.74	-16.65
4	I	36	6	10.00P	2	20.54	24.14	-14.33
305	I	37	8	2.50RP	2	20.54	34.44	-14.69
267	I	38	8	5.00RP	2	20.54	35.44	-10.40
243	I	39	8	7.50RP	2	20.54	35.97	-6.33
182	I	40	8	10.00RP	2	20.54	36.42	-2.08
89	J	0	0	10.00RP	1.5	15.60	-.02	.02
