#LNUM	TNUM	TRAN	WCSC
12	2	gahana	G
12	3	fauhana	F
12	4	fauhana	F
12	5	gihobuna	GI
12	6	gihobuna	GI
12	7	hualihona	H
12	8	bozina	B
12	9	bozina	B
12	10	auna	A
12	11	buhena	BU
12	12	meabeha	M
13	1	bwifabwifana	BW
13	2	berbere	ER
13	3	fao	FA
13	4	fotabar	FT
13	5	armena-garserem	GA
13	6	gergere	GE
13	7	gologolna	GO
13	8	gusuitifin	GS
13	9	guwini	GU
13	10	gworantotifini	GW
13	11	ibamibama	IB
13	12	isbama	IS
13	13	iyakartifini	IY
13	14	kasanbwat	KA
13	15	nafnafa	NF
13	16	jaborbema	JA
13	17	oberobera	OR
13	18	seyseye	SE
13	19	sinsini	SI
13	20	sonsona	SN
13	21	tababara	TA
13	22	tialaikikini	TI
13	23	betikbetika	TK
13	24	tiala-moknamsini	TM
13	25	titire	TR
13	26	tustusini	TS
13	27	tuirtui	TU
13	28	wenbama	WE
13	29	bwelkatbwelkata	WL
14	1	t-toku	O
14	2	babruku	BA
14	3	beleku	BE
14	4	biku	BI
14	5	bilingu	BL
14	6	bingu	BN
14	7	buna(ku)	B
14	8	buviagele	BU
14	9	d-gb-ku	DO
14	10	dairolo	D
14	11	et-t-ku	E
14	12	fee(ku)	F
14	13	grapoku	G
14	14	gwelengu(ku)	GW
14	15	gyedreku	GY
14	16	k-troku	KO
14	17	kp	K
14	18	kwe(ku)	KW
14	19	loko(ku)	L
14	20	siniku	S
14	21	tapeleku	T
14	22	zeli(ku)	Z
15	1	rdeli	A
15	2	pil	P
15	3	??	G
15	4	bur	BR
15	5	rat	R
15	6	nil	N
15	7	tɔlɔ	T
15	8	kal	K
15	9	kʌltia	KT
15	10	khaki	KH
15	11	dzambuʌ	J
15	12	kesrie	KS
15	13	??	B
15	14	??	M
16	1	jutre/jusa	J
16	2	jere/jerere	R
16	3	dabe/dabere	D
16	4	moloin/moloinre	M
16	5	lere/lerere/lejre	L
16	6	leren	E
16	7	kwajusa	K
16	8	mnule	N
16	9	llugile	G
16	10	dagikwale	W
16	11	ngwale	X
16	12	chiona	I
16	13	gousa	O
16	14	ba	B
16	15	bdali	A
16	16	blo	Z
16	17	chra	C
16	18	dbire	D
16	19	go	X
16	20	kokire	I
16	21	kwa	K
16	22	llugi	L
16	23	n	N
16	24	nga	G
16	25	sa	S
16	26	tra	T
16	27	nmolenga	Q
17	1	sek	SK
17	2	kiek/kik	KK
17	3	quich	QU
17	4	k'en	KN
17	5	mostasa	MS
17	6	rex	RX
17	7	verde	VE
17	8	azul	AZ
17	9	celeste	CL
17	10	morado	MO
17	11	c'ak'oj	CK
17	12	caf'e	CA
17	13	rosado	RO
17	14	anaranjada/naranjada	NA
17	15	puluic	PU
17	16	lila	LL
17	17	creama	CR
17	18	sipso	SI
17	19	chaj	CH
17	20	tzil	TZ
17	21	corinto	CO
17	22	beige	BE
17	23	rucolor ri caj	RU
17	24	marfil	MR
17	25	chiltote	CI
17	26	aplomado	AP
17	27	gris	GR
17	28	pitaya	PI
18	1	quityoncari	TY
18	2	quitamarri	TA
18	3	cheencari	CH
18	4	camaani/camaatatsiri	AA
18	5	piityotzinaqui	PI
18	6	casantonaqui	EE
18	7	quisaari	SA
18	8	quiraari	RR
18	9	quiteriri	KK
18	10	savavonaqui	VV
18	11	shimashirinaqui	SH
18	12	choritoeshi	FF
18	13	quiteroncari	NN
18	14	patsitaquinaqui	PA
18	15	potsotzinaqui	PO
18	16	pitsintenaqui	SS
19	1	azul-clarana	A
19	2	bajatetema	BA
19	3	bino-tinto	BT
19	4	buanganana	B
19	5	cafena	CF
19	6	canela	C1
19	7	carmesiyana	CA
19	8	celestana	CL
19	9	ceniya	CN
19	10	cenizana	CE
19	11	chocolatiana	CH
19	12	fchendana	FC
19	13	fjantsana	FJ
19	14	ftsengana	F
19	15	ibetana	I
19	16	jatinyanana	J
19	17	juajobojatate	JU
19	18	lejiana	LE
19	19	lilana	LI
19	20	mororena	M
19	21	naranjana	NA
19	22	ngefshnana	N
19	23	pajacana	P
19	24	pajacatema	PT
19	25	pajace	PE
19	26	pichana	PI
19	27	plomana	PL
19	28	rosadana	R
19	29	spejotemana	SP
19	30	tomatiyana	T
19	31	tsixiyana	TS
20	1	borshi	B
20	2	chobiapi	C
20	3	choromshi	CH
20	4	kamachpa	K
20	5	kantsirpi	KN
20	6	kavabana	KV
20	7	paramshi	PR
20	8	paritsa	PS
20	9	poritsamashi	PA
20	10	posisimashi	PO
20	11	povitsa	PV
20	12	pozani	PZ
20	13	ptsiyaro	P
20	14	tarika	T
20	15	vabana	V
20	16	vabanamashi	VM
20	17	tarikamashi	TM
20	18	kchabshi	KC
21	1	apuda	A
21	2	cape	CA
21	3	choco	CH
21	4	jahuada	JA
21	5	pajada	PJ
21	6	pasada	PA
21	7	pudeda	PU
21	8	sahuada	SA
21	9	sehueda	SE
21	10	seveda	SV
22	1	fibaba	FI
22	2	pababa	PA
22	3	ungalala	UN
22	4	lajquilili	LA
22	5	lushcatata	LU
22	6	yapijtutu	YA
22	7	llubaba	LL
22	8	ñingalala,ñingususu	NN
22	9	chuculate	CH
22	10	caf'e	CF
22	11	chaape	CP
22	12	pintura	PI
23	1	joxo	J
23	2	cheque	C
23	3	shini	S
23	4	niaba	N
23	5	nato	T
24	1	amarillo	AM
24	2	azul	A
24	3	blanco	B
24	4	chocolate	CH
24	5	colorao	C
24	6	crema	CR
24	7	granate	G
24	8	gris	GR
24	9	leche	LE
24	10	lila	L
24	11	maroon	M
24	12	moreno	MO
24	13	negro	N
24	14	rosas	R
24	15	salmon	S
24	16	sinisao	SI
24	17	verde	V
24	18	violeta	VI
24	19	yema	Y
25	1	huiri	H
25	2	yara	R
25	3	quehua	U
25	4	sha'pi	S
25	5	canin	K
25	6	ancon	A
25	7	peto	E
25	8	ton	TN
25	9	shin	SH
25	10	chin	CH
25	11	nen	NE
26	1	lih2/lianh2	LA
26	2	teg2/tiug2	TA
26	3	guiéng2/guióng2	GA
26	4	néng2/niáng2	NA
26	5	roh2/reh2	RA
26	6	mi3chiun3	MC
26	7	cafe	CA
26	8	rosa	RO
26	9	jmo2 guoh3	JG
26	10	azul	AZ
26	11	limon	LI
26	12	gu2-joah13	GJ
27	1	cübüsi	CB
27	2	cüturiqui/cütuniquiña	CT
27	3	cürrü(bi)	CR
27	4	cüborrü	CO
27	5	chocolate	CH
27	6	cuchuqui	CU
27	7	amariyo	AM
27	8	(n)asuru	AS
27	9	achuniquiaña	AC
27	10	nobütausa	NO
27	11	verde	VE
27	12	morao	MO
27	13	puru(subi)	PU
27	14	rojo	RJ
27	15	ginda	GI
27	16	marrón	MA
27	17	nonema	NN
27	18	rosado	RO
27	19	sar(subi)	SA
27	20	moyao	MY
27	21	café	CA
27	22	celeste	CL
27	23	naranjado	NA
27	24	nutasau(nrrü)	NT
27	25	nutüp(urrü)	NU
27	26	narrümuta(irri)	NR
27	27	aleluya	AL
27	28	nansibimia	NS
27	29	plomo	PL
27	30	tomiquianene	TO
27	31	nusutama	NE
27	32	urucu	UR
27	33	violeta	VI
27	34	anent(arru)	AN
27	35	pununsunuhiña	PN
27	36	naus(irri)	NI
27	37	nina	IN
27	38	rrosau(ma)/rrosao(ma)	RR
27	39	namoriyuma	NM
27	40	cüoma	CM
27	41	tinto	TI
27	42	cümüciña/cumusiiña	CX
27	43	bayo	BA
27	44	nonirrainrrü	NX
27	45	notorrü	NY
27	46	yarrücübürirri	YA
27	47	yurichurrü	YU
27	48	siputuniquiño	SI
27	49	nausibi	NZ
28	1	kufufuri	FJ
28	2	kidzidzii	DZ
28	3	kipipee	PF
28	4	kakaduro	KF
28	5	tfase nfa	TF
28	6	ntfone inifo	NT
28	7	kebobwee	BJ
28	8	kibunbun	KI
28	9	blu	BL
28	10	nsa	NS
28	11	blank	
28	12	lankantfuruntfu	LN
28	13	ese	ES
28	14	efa/keferua worese	EF
28	15	kodwee	KO
28	16	defao	DF
28	17	kemaakee	KM
28	18	kuntunkurun	KU
28	19	pawurantfu	PA
28	20	kefaa	KA
28	21	kukuti	KK
28	22	kisafuraa	SA
28	23	defu	DE
28	24	kirin	KR
29	1	cu'a	C
29	2	quiopa	Q
29	3	inzia	I
29	4	pajaccopa	Y
29	5	totoa	T
29	6	si'an	S
29	7	singu'ccoa	G
29	8	cufa-je'ccoa	CU
29	9	congupuje'a	CO
30	1	fiban	FI
30	2	paban	PA
30	3	luban	LU
30	4	losimban	OS
30	5	laqueban	LA
30	6	lopoban	OP
31	1	wapau	WP
31	2	wipau	WI
31	3	umuhkwaw	MU
31	4	usawaw	US
31	5	epitiskunau	EP
31	6	waseskunau	WS
31	7	pomukwasu	PO
31	8	popickanasu	PP
32	1	ssohueni/hi	SI
32	2	noponi/hi	NI
32	3	macconi/hi	MI
32	4	huesseni/hi	HI
32	5	mappa	MP
32	6	map(p)ara(ni/hi)	MH
32	7	amaidadadza/sa	AM
32	8	oba	OB
32	9	hida(ni)	HA
32	10	majoco	MJ
32	11	pina	PI
32	12	oradsa	OR
32	13	tarapussa/ossa	TA
32	14	siaja	SJ
32	15	mahuani	MU
32	16	majato	MT
32	17	ssiparo	SP
32	18	dsiparo	DS
32	19	birissate	BI
32	20	ssissita	SA
32	21	jissa	JI
32	22	mohedsa	MO
32	23	napana	NN
32	24	ssibeini	SX
32	25	ssissi	SZ
32	26	mohe	MZ
32	27	mapojo(ni/hi)	MY
32	28	napojo(ni/hi)	NY
32	29	ponijojarani	PJ
33	1	culak	C
33	2	gidang	G
33	3	holia	H
33	4	man	MN
33	5	marik	M
33	6	ora	O
33	7	rega	R
34	1	afiti-weti-koosi	F
34	2	asisi	A
34	3	baaka	K
34	4	baau	B
34	5	bevsi	V
34	6	boloini	N
34	7	bruin	U
34	8	donu	D
34	9	geli	E
34	10	grijs	R
34	11	guun	G
34	12	kwasi	Q
34	13	lebi	L
34	14	lila	X
34	15	olanje	O
34	16	pars	P
34	17	rose	Z
34	18	sakaati	S
34	19	soi-soi	I
34	20	taja	T
34	21	tjuwi	J
34	22	weti	W
35	1	bra	B
35	2	fige	F
35	3	lelerege	L
35	4	negemue	M
35	5	ngeere	G
35	6	nyatipirige	N
35	7	kondoro	K
35	8	wetipiire	T
35	9	wolo	W
35	10	yege	Y
35	11	fle-fiau	E
35	12	vrau	V
36	1	enyaga	E
36	2	ebare	B
36	3	ebi	EB
36	4	ogok	O
36	5	ebi/obok	EO
36	6	enyage-awawa	EA
36	7	ebi/awawa	BA
37	1	oshi	OS
37	2	tehui	TE
37	3	huo'o	HU
37	4	jahua	JA
37	5	tahua	TA
37	6	pohui	PO
37	7	quijjeshasha	QU
37	8	jehue	JE
37	9	chijjiyojaiyojja	CH
37	10	seishe	SE
37	11	cuaisohua	CU
37	12	chehue	HE
38	1	ur'iti	WU
38	2	jar'uti	JA
38	3	fun'ati	FU
38	4	amar'iu	AM
38	5	verde	VE
38	6	d'inguti	DI
38	7	c'uchu	GU
38	8	rosado	RO
38	9	chug'uladi	CH
38	10	beish	BE
38	11	gafe	GA
38	12	ar'ansu	AR
38	13	sabudi	SA
38	14	anaranja	AN
38	15	tag-ile gadaru	TG
38	16	baligi	BA
38	17	crema	CR
38	18	gris	GR
39	1	niopona	NI
39	2	tsaebia	TA
39	3	tsobia	TO
39	4	vayana	VA
39	5	raëna	RA
39	6	nasãëna	SE
39	7	rajena	RJ
39	8	purana	PU
39	9	tsëcëna	TE
39	10	pabana	PA
39	11	blank	
39	12	najerona	NA
39	13	pecavanalobijavatsi	CA
39	14	fobia	FO
39	15	piatananibijavatsi	AN
39	16	tsauna	TU
39	17	rosado	RO
40	1	polig	PO
40	2	yalig	Y
40	3	piguig	P
40	4	chilga	C
40	5	pillig	PI
40	6	osig	O
40	7	uscuig	U
40	8	cafe	CA
41	1	tohs'aname	TO
41	2	osc'oname	OS
41	3	seht'aname	SE
41	4	saaw'aeme	SA
41	5	siy'oname	SI
41	6	sawic'ame	SU
41	7	cokor'a	CO
41	8	wetap'aeme	WE
41	9	morisuame	MO
41	10	setapocame	ST
41	11	blank	XX
41	12	waar'osa	WA
41	13	huraname	HU
41	14	sucane	SC
42	1	taen	T
42	2	kare	K
42	3	blure	B
42	4	sübrüre	S
42	5	ngwenen	N
42	6	drünen	D
42	7	kwaranen	W
42	8	bukere	U
42	9	mrüträre	M
42	10	ngübrüre	G
42	11	dobrore	O
42	12	mire	I
42	13	menyen	E
42	14	dirire	R
42	15	narane	NA
42	16	dobomününen	DM
42	17	mädonare	MA
42	18	toäre	TO
42	19	noäre	NO
42	20	nökrenkä	NK
42	21	öböbure	OB
42	22	däride	DA
42	23	ñöre	NR
42	24	ütaene	UT
42	25	köare	KO
42	26	breare	BR
42	27	morane	MO
42	28	diore	DI
42	29	orebare	OR
42	30	dikere	DK
43	1	bumumbpa	BA
43	2	fididifididi	FD
43	3	goela	GA
43	4	buluma	BF
43	5	gosanoga	GS
43	6	gembongmbagne	GE
43	7	patsang	AT
43	8	guenebe	TA
43	9	belinbelin	BE
43	10	magne	AG
43	11	guilebe	GG
43	12	gianogiano	AN
43	13	bianebiane	BJ
43	14	gidanaginde	GD
43	15	skaska	SA
43	16	elendselends	EE
43	17	madsmads	AD
43	18	ginina	GI
43	19	giantfegiantfe	GT
43	20	mbeyambeya	MB
43	21	manonmanono	MN
43	22	tinde	TN
43	23	ngenene	NG
43	24	tsitsi	TS
43	25	bibubibu	BB
43	26	dobeledobele	DB
43	27	??	??
44	1	kërea	KE
44	2	podri	PO
44	3	rëg rëga	RE
44	4	lal	LA
44	5	hërdi	HE
44	6	nilea	NA
44	7	dhosea	DH
44	8	saped	SA
44	9	kala	KA
44	10	semi	SM
44	11	curi	CU
44	12	gulapi	GU
44	13	supari	SU
44	14	kosea	KO
44	15	ujër	UJ
44	16	hëra	HA
44	17	phokua	PH
44	18	cui	CI
44	19	pila	PI
44	20	palis	PA
44	21	borën mali	BM
44	22	lalea	LL
44	23	matea	MA
44	24	tus	TU
44	25	tilea	TI
44	26	kot	KT
44	27	pagu guda	PG
44	28	potrëgea	PT
44	29	kali	KL
44	30	pulis kot	PK
44	31	kumbucea	KU
44	32	kaca potrea	KP
44	33	këmiz	KM
44	34	mati	MT
44	35	kurta	KR
44	36	rëg mati	RM
44	37	polis	PL
44	38	pita	PP
44	39	bërën	BE
44	40	khëpra	KH
44	41	këta	KZ
44	42	kalea	KY
44	43	pëtrëgi	PR
44	44	pan	PN
44	45	pani	PZ
44	46	gota	GO
44	47	kajër	KJ
44	48	këtha	KW
44	49	kemlin	KV
44	50	bhosea	BH
44	51	reoda	RD
44	52	sërbëd	SB
44	53	jëmud	JE
44	54	këthara	KK
44	55	jamun	JA
44	56	bëdami	BD
44	57	khun	KN
44	58	militri	ML
44	59	uanis	UA
44	60	pilpili	PX
44	61	phul	PU
44	62	pika	PW
44	63	badëm	BZ
44	64	siai	SI
44	65	hara	HX
44	66	kësa	KS
44	67	siae	SZ
44	68	rëge ci	RC
44	69	jhapra	JH
44	70	pana	PS
44	71	kumda	KD
45	1	azul	A
45	2	ikikil	I
45	3	man	M
45	4	man/yashiniʔ	MY
45	5	morado	MO
45	6	muyakʔ	MU
45	7	oakniʔ	O
45	8	tʔunkio	TO
45	9	tʔunuy	T
45	10	tshakniʔ	TS
45	11	tshokoy	TY
45	12	yashniʔ	Y
46	1	raan	RA
46	2	najpos	NJ
46	3	nambeor	MB
46	4	vino	VN
46	5	nacants	NC
46	6	maril	ML
46	7	nateaic	NT
46	8	azul	AZ
46	9	morada	MR
46	10	caracol	CR
46	11	chiup	CH
46	12	cafe	CF
46	13	rosada	RO
46	14	naranjada	NA
46	15	nacant-maril	NM
46	16	iut	IT
46	17	plomo	PL
47	1	kukwauhina	KU
47	2	matamatagina	MA
47	3	yabeyabelina	YB
47	4	yagoyagona	YG
47	5	kwayakwayana	KW
47	6	likelikena	LI
47	7	lulu'abelana	LL
47	8	yegayegana	YE
47	9	bokaliya	BK
47	10	bowabowana	BW
47	11	howahowana	HW
47	12	wedawedalina	WD
47	13	medalina	MD
47	14	uyu'uyuya	UU
47	15	daladalana	DL
47	16	bubuwalina	BB
47	17	awatatagina	AW
47	18	kewakewalina	KE
47	19	bogibogina	BG
47	20	mahamahalina	MH
47	21	kalekalewana	KL
47	22	lu'auna	LA
47	23	makamakayana	MK
47	24	lovalovanina	LO
47	25	kilikiliwana	KI
47	26	kinikiniwana	KN
47	27	yagobuhuwalina	YZ
47	28	luvebuhuwalina	LZ
47	29	wavana	WA
47	30	luhenahenalena/luvehenahenalena	HH
47	31	guluguluwa	GG
47	32	damadamana	DD
47	33	luvekabu	LK
47	34	siyosiyona	SS
47	35	ufewa	UF
47	36	lu'afu	LF
47	37	iwa'iwalona	IW
47	38	bwahabwaha	BH
47	39	uma'umalovanina	UM
47	40	daladalana	DA
47	41	bwanebwanenena	BA
47	42	si'una	SI
47	43	luve'a	VE
47	44	hiyohiyo	HI
47	45	dewedewelina	DE
47	46	gologolohina	GO
47	47	makaisena	KS
47	48	toto	TO
47	49	mali	ML
47	50	luve'ahatata	LU
47	51	namanamalina	NM
48	1	ma(ka)blah	MA
48	2	andeket	AN
48	3	mad(mad)lang	MD
48	4	malulaw	ML
48	5	meatta, ematta	EM
48	6	bagiw	BG
48	7	kinunid	KI
48	8	nandepul	NP
48	9	pulpullaan	PP
48	10	pinuyek	PI
48	11	??	
48	12	ampuhyaew	AM
48	13	bila	BI
48	14	ballanbang	BA
48	15	binlah	BL
48	16	k(in)ulelaw	KN
48	17	nandilan	NN
48	18	hinimbang	HN
48	19	melineng	MN
48	20	kamangkedulaw	KM
48	21	mailag	MG
48	22	belbellahan	BE
48	23	blue	BU
49	1	wh-isinan	WH
49	2	yh-iuwinan	YW
49	3	paridnan	PA
49	4	w-irnan	WI
49	5	prainan	PR
49	6	ops-inan	OP
49	7	wabs-inan	WA
49	8	siiyam	SI
49	9	shu	SH
49	10	suparnan	SU
50	1	pje	P
50	2	te	E
50	3	je	J
50	4	tsu	S
50	5	lu	L
50	6	upju	U
50	7	tsjalam	T
50	8	jasa	JA
50	9	josca	JO
51	1	muk	M
51	2	minj-kimemb	K
51	3	likan	L
51	4	tund	T
51	5	mosimb	S
51	6	gach	G
51	7	maym	Y
51	8	anjerj-ay	A
51	9	walin	W
51	10	jikiw	J
51	11	sambiy-arjgin/sambiy-kas	B
51	12	sapay	E
51	13	kochir-kas	H
51	14	milip	I
51	15	waynal	U
51	16	wilik	Q
51	17	kim-anjani	V
51	18	sirak	D
51	19	kinak	N
51	20	kayirjg	KY
51	21	gambing	GJ
51	22	gusay-kas	GK
51	23	am	O
51	24	kakiy	C
51	25	tun	TN
51	26	kirjak	KK
51	27	pik-wip	PW
51	28	nirrjg-kawan	NK
51	29	kinal	KL
51	30	gund	GD
51	31	pik	PK
51	32	man-pik	MP
51	33	mon-kas	MK
51	34	singiy	SI
51	35	ninim	NI
51	36	nolim	NO
51	37	yolow	YO
51	38	takay	TK
51	39	jinjimb	JI
51	40	maling-kas	MA
51	41	maling-pambil	MA
51	42	nikim	NM
51	43	yindik-gambinj	YG
51	44	tun-silikip	TN
51	45	tomb	TO
51	46	nin	NN
51	47	takip	TP
51	48	mes-kas	ME
51	49	minj-kas-milip	MX
51	50	mon-kas-milip	MK
51	51	nigg-wilik	GG
51	52	koyminmin	YM
51	53	gambiy	GY
51	54	nawim	NW
51	55	kosip	KS
51	56	kawomb	KW
51	57	woray	WO
51	58	parey	PY
51	59	yirjgam	YI
51	60	kum-gip	KG
51	61	kamb-am	KA
51	62	tun-silikip	TS
51	63	wolipay	WP
51	64	mon-kas-milip	MM
51	65	ayndand	AY
51	66	alnam	AL
51	67	pinuw	PI
51	68	kirin	KI
51	69	yunf	YU
52	1	efeke	EF
52	2	kaninkruke	KA
52	3	koranke	KO
52	4	kunke	KU
52	5	krogronke	KR
52	6	movege	MO
52	7	osqpake	OS
52	8	yafasi'na	YA
52	9	hokonke	HO
52	10	haninke	HA
52	11	hinunke	HI
52	12	fitu	FI
52	13	higo'ge	HG
52	14	kahef'a	KF
52	15	agamunke	AG
52	16	avoke	AV
52	17	kanupase	KN
52	18	taninke	TA
52	19	tavatage	TV
52	20	nunumeke	NU
52	21	paseke	PS
52	22	kasefake	KS
52	23	masage	MS
52	24	kepaseke	KE
52	25	kipanke	KI
52	26	kagu	KG
52	27	tap	TP
52	28	afu	AF
52	29	vasage	VS
52	30	pike	PK
52	31	funemune	FN
52	32	fumi	FU
53	1	ikura	K
53	2	iura	U
53	3	ilyby	B
53	4	iso	I
53	5	tyre	T
53	6	idy	Q
53	7	dy	D
53	8	lyby	L
53	9	ura	U
53	10	luru	R
53	11	jyby	J
53	12	si	S
53	13	kura	K
53	14	tyhy	H
53	15	lyra	A
53	16	bure	O
53	17	tyny	Z
53	18	na	N
53	19	bryby	X
54	1	klaut	KL
54	2	se guo	SG
