expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes,
dative on subject + fut on verb+ clause final hoga/hogi,strong,epistemic,?,positive,no,dative on subject + fut on verb+ clause final hoga/hogi,,
dative on subject + fut on verb+ clause final hoga/hogi,weak necessity,epistemic,?,positive,no,dative on subject + fut on verb+ clause final hoga/hogi,,
dative on subject + fut on verb+ clause final hoga/hogi,weak,epistemic,?,positive,no,dative on subject + fut on verb+ clause final hoga/hogi,,
dative on subject + fut on verb+ clause final hoga/hogi,strong,deontic,1,positive,no,dative on subject + fut on verb+ clause final hoga/hogi,,
dative on subject + fut on verb+ clause final hoga/hogi,weak necessity,deontic,?,positive,no,dative on subject + fut on verb+ clause final hoga/hogi,,
dative on subject + fut on verb+ clause final hoga/hogi,weak,deontic,?,positive,no,dative on subject + fut on verb+ clause final hoga/hogi,,
dative on subject + fut on verb+ clause final hoga/hogi,strong,teleological,1,positive,no,dative on subject + fut on verb+ clause final hoga/hogi,,
dative on subject + fut on verb+ clause final hoga/hogi,weak necessity,teleological,?,positive,no,dative on subject + fut on verb+ clause final hoga/hogi,,
dative on subject + fut on verb+ clause final hoga/hogi,weak,teleological,?,positive,no,dative on subject + fut on verb+ clause final hoga/hogi,,
dative on subject + fut on verb+ clause final hoga/hogi,strong,circumstantial,1,positive,no,dative on subject + fut on verb+ clause final hoga/hogi,the dative case is opitional,
dative on subject + fut on verb+ clause final hoga/hogi,weak,circumstantial,?,positive,no,dative on subject + fut on verb+ clause final hoga/hogi,,
dative on subject + fut on verb+ clause final hoga/hogi,strong,bouletic,?,positive,no,dative on subject + fut on verb+ clause final hoga/hogi,,
dative on subject + fut on verb+ clause final chahiye,strong,epistemic,?,positive,no,dative on subject + fut on verb+ clause final chahiye,,
dative on subject + fut on verb+ clause final chahiye,weak necessity,epistemic,?,positive,no,dative on subject + fut on verb+ clause final chahiye,,
dative on subject + fut on verb+ clause final chahiye,weak,epistemic,?,positive,no,dative on subject + fut on verb+ clause final chahiye,,
dative on subject + fut on verb+ clause final chahiye,strong,deontic,?,positive,no,dative on subject + fut on verb+ clause final chahiye,,
dative on subject + fut on verb+ clause final chahiye,weak necessity,deontic,1,positive,no,dative on subject + fut on verb+ clause final chahiye,,
dative on subject + fut on verb+ clause final chahiye,weak,deontic,?,positive,no,dative on subject + fut on verb+ clause final chahiye,,
dative on subject + fut on verb+ clause final chahiye,strong,teleological,?,positive,no,dative on subject + fut on verb+ clause final chahiye,,
dative on subject + fut on verb+ clause final chahiye,weak necessity,teleological,1,positive,no,dative on subject + fut on verb+ clause final chahiye,,
dative on subject + fut on verb+ clause final chahiye,weak,teleological,?,positive,no,dative on subject + fut on verb+ clause final chahiye,,
dative on subject + fut on verb+ clause final chahiye,strong,circumstantial,?,positive,no,dative on subject + fut on verb+ clause final chahiye,,
dative on subject + fut on verb+ clause final chahiye,weak,circumstantial,?,positive,no,dative on subject + fut on verb+ clause final chahiye,,
dative on subject + fut on verb+ clause final chahiye,strong,bouletic,?,positive,no,dative on subject + fut on verb+ clause final chahiye,,
hi hai,strong,epistemic,?,positive,no,hi hai,,
hi hai,weak necessity,epistemic,?,positive,no,hi hai,,
hi hai,weak,epistemic,?,positive,no,hi hai,,
hi hai,strong,deontic,?,positive,no,hi hai,,
hi hai,weak necessity,deontic,?,positive,no,hi hai,,
hi hai,weak,deontic,?,positive,no,hi hai,,
hi hai,strong,teleological,?,positive,no,hi hai,,
hi hai,weak necessity,teleological,?,positive,no,hi hai,,
hi hai,weak,teleological,?,positive,no,hi hai,,
hi hai,strong,circumstantial,?,positive,no,hi hai,,
hi hai,weak,circumstantial,?,positive,no,hi hai,,
hi hai,strong,bouletic,1,positive,no,hi hai,,
shayad,strong,epistemic,?,positive,no,shayad,the author noted this is possibly adverbial phrase,
shayad,weak necessity,epistemic,?,positive,no,shayad,,
shayad,weak,epistemic,1,positive,no,shayad,,
shayad,strong,deontic,?,positive,no,shayad,,
shayad,weak necessity,deontic,?,positive,no,shayad,,
shayad,weak,deontic,?,positive,no,shayad,,
shayad,strong,teleological,?,positive,no,shayad,,
shayad,weak necessity,teleological,?,positive,no,shayad,,
shayad,weak,teleological,?,positive,no,shayad,,
shayad,strong,circumstantial,?,positive,no,shayad,,
shayad,weak,circumstantial,?,positive,no,shayad,,
shayad,strong,bouletic,?,positive,no,shayad,,
sakte/sakti/sakta ho,strong,epistemic,?,positive,no,sakte/sakti/sakta ho,sankte/i/a express 'can' in different genders and numbers,
sakte/sakti/sakta ho,weak necessity,epistemic,?,positive,no,sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,weak,epistemic,1,positive,no,sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,strong,deontic,?,positive,no,sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,weak necessity,deontic,?,positive,no,sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,weak,deontic,1,positive,no,sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,strong,teleological,?,positive,no,sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,weak necessity,teleological,?,positive,no,sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,weak,teleological,1,positive,no,sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,strong,circumstantial,?,positive,no,sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,weak,circumstantial,1,positive,no,sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,strong,bouletic,?,positive,no,sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,strong,epistemic,?,negative,yes,nahi + sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,weak necessity,epistemic,?,negative,yes,nahi + sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,weak,epistemic,?,negative,yes,nahi + sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,strong,deontic,1,negative,yes,nahi + sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,weak necessity,deontic,?,negative,yes,nahi + sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,weak,deontic,1,negative,yes,nahi + sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,strong,teleological,1,negative,yes,nahi + sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,weak necessity,teleological,?,negative,yes,nahi + sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,weak,teleological,?,negative,yes,nahi + sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,strong,circumstantial,?,negative,yes,nahi + sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,weak,circumstantial,?,negative,yes,nahi + sakte/sakti/sakta ho,,
sakte/sakti/sakta ho,strong,bouletic,?,negative,yes,nahi + sakte/sakti/sakta ho,,
sakte/sakti/sakta hai,strong,epistemic,?,positive,no,sakte/sakti/sakta hai,,"ho and hai are also inflected form, it is unsure if 'ho' and 'hai' contribute to the modal. For now I treat them differently "
sakte/sakti/sakta hai,weak necessity,epistemic,?,positive,no,sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,weak,epistemic,1,positive,no,sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,strong,deontic,?,positive,no,sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,weak necessity,deontic,?,positive,no,sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,weak,deontic,1,positive,no,sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,strong,teleological,?,positive,no,sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,weak necessity,teleological,?,positive,no,sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,weak,teleological,1,positive,no,sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,strong,circumstantial,?,positive,no,sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,weak,circumstantial,1,positive,no,sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,strong,bouletic,?,positive,no,sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,strong,epistemic,1,negative,yes,nahi + sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,weak necessity,epistemic,?,negative,yes,nahi + sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,weak,epistemic,1,negative,yes,nahi + sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,strong,deontic,?,negative,yes,nahi + sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,weak necessity,deontic,?,negative,yes,nahi + sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,weak,deontic,?,negative,yes,nahi + sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,strong,teleological,?,negative,yes,nahi + sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,weak necessity,teleological,?,negative,yes,nahi + sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,weak,teleological,1,negative,yes,nahi + sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,strong,circumstantial,1,negative,yes,nahi + sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,weak,circumstantial,1,negative,yes,nahi + sakte/sakti/sakta hai,,
sakte/sakti/sakta hai,strong,bouletic,?,negative,yes,nahi + sakte/sakti/sakta hai,,
