,expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
35,chắc chắn,strong,bouletic,?,negative,high,NEG + chắc chắn,
36,lẽ,strong,epistemic,?,positive,no,có lẽ,có is the existential -- open question whether to reduce modal expression to the quantified lẽ or include the whole phrase. Same with có thể.
37,lẽ,weak necessity,epistemic,1,positive,no,có lẽ,
38,lẽ,weak,epistemic,0,positive,no,có lẽ,
39,lẽ,strong,deontic,?,positive,no,có lẽ,
40,lẽ,weak necessity,deontic,?,positive,no,có lẽ,
41,lẽ,weak,deontic,?,positive,no,có lẽ,
42,lẽ,strong,teleological,?,positive,no,có lẽ,
43,lẽ,weak necessity,teleological,?,positive,no,có lẽ,
44,lẽ,weak,teleological,?,positive,no,có lẽ,
45,lẽ,strong,circumstantial,?,positive,no,có lẽ,
46,lẽ,weak,circumstantial,?,positive,no,có lẽ,
47,lẽ,strong,bouletic,?,positive,no,có lẽ,
48,thể,strong,epistemic,?,positive,no,có thể,see row 26 note
49,thể,weak necessity,epistemic,?,positive,no,có thể,
50,thể,weak,epistemic,1,positive,no,có thể,
51,thể,strong,deontic,?,positive,no,có thể,
52,thể,weak necessity,deontic,?,positive,no,có thể,
53,thể,weak,deontic,1,positive,no,có thể,
54,thể,strong,teleological,?,positive,no,có thể,
55,thể,weak necessity,teleological,?,positive,no,có thể,
56,thể,weak,teleological,1,positive,no,có thể,
57,thể,strong,circumstantial,?,positive,no,có thể,
58,thể,weak,circumstantial,1,positive,no,có thể,
59,thể,strong,bouletic,?,positive,no,có thể,
60,thể,strong,epistemic,?,negative,high,NEG + thể,
61,thể,weak necessity,epistemic,?,negative,high,NEG + thể,
62,thể,weak,epistemic,?,negative,high,NEG + thể,
63,thể,strong,deontic,?,negative,high,NEG + thể,
64,thể,weak necessity,deontic,?,negative,high,NEG + thể,
65,thể,weak,deontic,1,negative,high,NEG + thể,
66,thể,strong,teleological,?,negative,high,NEG + thể,
67,thể,weak necessity,teleological,?,negative,high,NEG + thể,
68,thể,weak,teleological,1,negative,high,NEG + thể,
69,thể,strong,circumstantial,?,negative,high,NEG + thể,
70,thể,weak,circumstantial,1,negative,high,NEG + thể,
71,thể,strong,bouletic,?,negative,high,NEG + thể,
72,phải,strong,epistemic,?,positive,no,phải,
73,phải,weak necessity,epistemic,?,positive,no,phải,
74,phải,weak,epistemic,?,positive,no,phải,
75,phải,strong,deontic,1,positive,no,phải,
76,phải,weak necessity,deontic,?,positive,no,phải,
77,phải,weak,deontic,?,positive,no,phải,
78,phải,strong,teleological,?,positive,no,phải,
79,phải,weak necessity,teleological,?,positive,no,phải,
80,phải,weak,teleological,?,positive,no,phải,
81,phải,strong,circumstantial,?,positive,no,phải,
82,phải,weak,circumstantial,?,positive,no,phải,
83,phải,strong,bouletic,?,positive,no,phải,
84,phải,strong,epistemic,?,negative,high,NEG + phải,
85,phải,weak necessity,epistemic,?,negative,high,NEG + phải,
86,phải,weak,epistemic,?,negative,high,NEG + phải,
87,phải,strong,deontic,1,negative,high,NEG + phải,
88,phải,weak necessity,deontic,?,negative,high,NEG + phải,
89,phải,weak,deontic,?,negative,high,NEG + phải,
90,phải,strong,teleological,?,negative,high,NEG + phải,
91,phải,weak necessity,teleological,?,negative,high,NEG + phải,
92,phải,weak,teleological,?,negative,high,NEG + phải,
93,phải,strong,circumstantial,?,negative,high,NEG + phải,
94,phải,weak,circumstantial,?,negative,high,NEG + phải,
95,phải,strong,bouletic,?,negative,high,NEG + phải,
96,cần phải,strong,epistemic,?,positive,no,cần phải,"compound of cần (""need"") + phải (""must""). Bare cần only takes nominal arguments;  cần phải is for non-nominal arguments"
97,cần phải,weak necessity,epistemic,?,positive,no,cần phải,
98,cần phải,weak,epistemic,?,positive,no,cần phải,
99,cần phải,strong,deontic,0,positive,no,cần phải,
100,cần phải,weak necessity,deontic,?,positive,no,cần phải,
101,cần phải,weak,deontic,?,positive,no,cần phải,
102,cần phải,strong,teleological,1,positive,no,cần phải,
103,cần phải,weak necessity,teleological,0,positive,no,cần phải,
104,cần phải,weak,teleological,?,positive,no,cần phải,
105,cần phải,strong,circumstantial,1,positive,no,cần phải,
106,cần phải,weak,circumstantial,?,positive,no,cần phải,
107,cần phải,strong,bouletic,1,positive,no,cần phải,
108,cần phải,strong,epistemic,?,negative,high,NEG + cần phải,
109,cần phải,weak necessity,epistemic,?,negative,high,NEG + cần phải,
110,cần phải,weak,epistemic,?,negative,high,NEG + cần phải,
111,cần phải,strong,deontic,?,negative,high,NEG + cần phải,
112,cần phải,weak necessity,deontic,?,negative,high,NEG + cần phải,
113,cần phải,weak,deontic,?,negative,high,NEG + cần phải,
114,cần phải,strong,teleological,1,negative,high,NEG + cần phải,
115,cần phải,weak necessity,teleological,?,negative,high,NEG + cần phải,
116,cần phải,weak,teleological,?,negative,high,NEG + cần phải,
117,cần phải,strong,circumstantial,?,negative,high,NEG + cần phải,
118,cần phải,weak,circumstantial,?,negative,high,NEG + cần phải,
119,cần phải,strong,bouletic,?,negative,high,NEG + cần phải,
120,nên,strong,epistemic,?,positive,no,nên,
121,nên,weak necessity,epistemic,?,positive,no,nên,
122,nên,weak,epistemic,?,positive,no,nên,
123,nên,strong,deontic,0,positive,no,nên,
124,nên,weak necessity,deontic,1,positive,no,nên,
125,nên,weak,deontic,?,positive,no,nên,
126,nên,strong,teleological,?,positive,no,nên,
127,nên,weak necessity,teleological,?,positive,no,nên,
128,nên,weak,teleological,?,positive,no,nên,
129,nên,strong,circumstantial,?,positive,no,nên,
130,nên,weak,circumstantial,?,positive,no,nên,
131,nên,strong,bouletic,?,positive,no,nên,
132,được1,strong,epistemic,?,positive,no,được1,"preverbal, optionally occurring as được phép (""MOD + allowed"") to make permission explicit"
133,được1,weak necessity,epistemic,?,positive,no,được1,
134,được1,weak,epistemic,?,positive,no,được1,
135,được1,strong,deontic,?,positive,no,được1,
136,được1,weak necessity,deontic,?,positive,no,được1,
137,được1,weak,deontic,1,positive,no,được1,
138,được1,strong,teleological,?,positive,no,được1,
139,được1,weak necessity,teleological,?,positive,no,được1,
140,được1,weak,teleological,?,positive,no,được1,
141,được1,strong,circumstantial,?,positive,no,được1,
142,được1,weak,circumstantial,?,positive,no,được1,
143,được1,strong,bouletic,?,positive,no,được1,
144,được2,strong,epistemic,?,positive,no,được2,"isolated, mono-lexical, postverbal or clause-final"
145,được2,weak necessity,epistemic,?,positive,no,được2,
146,được2,weak,epistemic,?,positive,no,được2,
147,được2,strong,deontic,?,positive,no,được2,
148,được2,weak necessity,deontic,?,positive,no,được2,
149,được2,weak,deontic,?,positive,no,được2,
150,được2,strong,teleological,?,positive,no,được2,
151,được2,weak necessity,teleological,?,positive,no,được2,
152,được2,weak,teleological,?,positive,no,được2,
153,được2,strong,circumstantial,?,positive,no,được2,
154,được2,weak,circumstantial,?,positive,no,được2,
155,được2,strong,bouletic,?,positive,no,được2,
156,được1,strong,epistemic,?,negative,high,NEG + được1,see note in row 74
157,được1,weak necessity,epistemic,?,negative,high,NEG + được1,
158,được1,weak,epistemic,?,negative,high,NEG + được1,
159,được1,strong,deontic,?,negative,high,NEG + được1,
160,được1,weak necessity,deontic,?,negative,high,NEG + được1,
161,được1,weak,deontic,1,negative,high,NEG + được1,
162,được1,strong,teleological,?,negative,high,NEG + được1,
163,được1,weak necessity,teleological,?,negative,high,NEG + được1,
164,được1,weak,teleological,?,negative,high,NEG + được1,
165,được1,strong,circumstantial,?,negative,high,NEG + được1,
166,được1,weak,circumstantial,?,negative,high,NEG + được1,
167,được1,strong,bouletic,?,negative,high,NEG + được1,
168,được2,strong,epistemic,?,negative,high,NEG + được2,
169,được2,weak necessity,epistemic,?,negative,high,NEG + được2,
170,được2,weak,epistemic,?,negative,high,NEG + được2,
171,được2,strong,deontic,?,negative,high,NEG + được2,
172,được2,weak necessity,deontic,?,negative,high,NEG + được2,
173,được2,weak,deontic,?,negative,high,NEG + được2,
174,được2,strong,teleological,?,negative,high,NEG + được2,
175,được2,weak necessity,teleological,?,negative,high,NEG + được2,
176,được2,weak,teleological,?,negative,high,NEG + được2,
177,được2,strong,circumstantial,?,negative,high,NEG + được2,
178,được2,weak,circumstantial,1,negative,high,NEG + được2,
179,được2,strong,bouletic,?,negative,high,NEG + được2,
180,có thể + negated clause,strong,epistemic,1,negative,low,có thể + negated clause,"existential is obligatory, negation scopes over matrix clause but not modal"
181,có thể + negated clause,weak necessity,epistemic,?,negative,low,có thể + negated clause,
182,có thể + negated clause,weak,epistemic,?,negative,low,có thể + negated clause,
183,có thể + negated clause,strong,deontic,?,negative,low,có thể + negated clause,
184,có thể + negated clause,weak necessity,deontic,?,negative,low,có thể + negated clause,
185,có thể + negated clause,weak,deontic,?,negative,low,có thể + negated clause,
186,có thể + negated clause,strong,teleological,?,negative,low,có thể + negated clause,
187,có thể + negated clause,weak necessity,teleological,?,negative,low,có thể + negated clause,
188,có thể + negated clause,weak,teleological,?,negative,low,có thể + negated clause,
189,có thể + negated clause,strong,circumstantial,?,negative,low,có thể + negated clause,
190,có thể + negated clause,weak,circumstantial,?,negative,low,có thể + negated clause,
191,có thể + negated clause,strong,bouletic,?,negative,low,có thể + negated clause,
192,chắc chắn + negated clause,strong,epistemic,?,negative,low,chắc chắn + negated clause,negation scopes over matrix clause but not modal
193,chắc chắn + negated clause,weak necessity,epistemic,?,negative,low,chắc chắn + negated clause,
194,chắc chắn + negated clause,weak,epistemic,1,negative,low,chắc chắn + negated clause,
195,chắc chắn + negated clause,strong,deontic,?,negative,low,chắc chắn + negated clause,
196,chắc chắn + negated clause,weak necessity,deontic,?,negative,low,chắc chắn + negated clause,
197,chắc chắn + negated clause,weak,deontic,?,negative,low,chắc chắn + negated clause,
198,chắc chắn + negated clause,strong,teleological,?,negative,low,chắc chắn + negated clause,
199,chắc chắn + negated clause,weak necessity,teleological,?,negative,low,chắc chắn + negated clause,
200,chắc chắn + negated clause,weak,teleological,?,negative,low,chắc chắn + negated clause,
201,chắc chắn + negated clause,strong,circumstantial,?,negative,low,chắc chắn + negated clause,
202,chắc chắn + negated clause,weak,circumstantial,?,negative,low,chắc chắn + negated clause,
203,chắc chắn + negated clause,strong,bouletic,?,negative,low,chắc chắn + negated clause,
